_id,name
ammochostos,"{""el"":""Αμμόχωστος"",""en"":""Ammochostos"",""tr"":""Mağusa""}"
keryneia,"{""el"":""Κερύνεια"",""en"":""Keryneia"",""tr"":""Girne""}"
larnaka,"{""el"":""Λάρνακα"",""en"":""Larnaka"",""tr"":""Larnaka""}"
lefkosia,"{""el"":""Λευκωσία"",""en"":""Lefkosia"",""tr"":""Lefkoşa""}"
lemesos,"{""el"":""Λεμεσός"",""en"":""Lemesos"",""tr"":""Limasol""}"
pafos,"{""el"":""Πάφος"",""en"":""Pafos"",""tr"":""Baf""}"

